Title,Removed amounts and measurements
Vegetarian Pot Pie Recipe,"['flour','salt','baking powder','sage','butter','water','shallot','beans','oil','potato','carrot','onion','pepper','oregano','flour','broth','peas','salt','pesto','parmesan']"
Vegetable Pot Pie Recipe,"['carrot','parsnip','onion','ale','mushroom','clove','beans','oil','salt','flour','wine','soy sauce','tomato','tea','sage','broth','pepper','flour','flour','corn','baking powder','salt','butter','parmesan','butter']"
Ultimate Falafel Sandwich,"[' classic falafel','bread','cilantro','hummus','tomato','cucumber','onion','cilantro','harissa']"
Classic Falafel (Restaurant-Style!),"['peas','clove','onion','cilantro','cilantro','cumin','coriander','baking powder','salt','pepper','oil','dill']"
Vegan Enchiladas (Best Ever!),"['enchilada sauce','oil','mushroom','onion','pepper','beans','garlic','cumin','onion','paprika','salt','lime','water','guacamole','flour','cilantro','cream']"
Vegetarian Enchiladas with Quinoa,"['water','quinoa','salt','onion','tomatillos','chile','vegetable stock','salt','tea','artichoke hearts','gin','corn','cheese','cilantro','feta','cayenne','lime','cream']"
Vegetarian Skillet Enchiladas,"['clove','onion','zucchini','pepper','pepper','cilantro','beans','corn','oil','tea','cumin','oregano','salt','corn','enchilada sauce','cheddar','cream']"
Sweet Potato Black Bean Enchiladas,"['potato','onion','beans','cilantro','chili','cumin','chili','garlic','salt','pepper','salsa','cheese','flour','cream']"
Ricotta Dumplings with Kale Pesto,"['ale','clove','walnut','parmesan','salt','lemon','vinegar','oil','egg','egg','ricotta','parmesan','tea','salt','flour','ale','nutmeg','tea','oil','salt']"
Favorite Spaghetti Squash Lasagna,"['spaghetti','oil','ricotta','parmesan','oregano','salt','spaghetti','mozzarella','basil']"
Perfect Zucchini Lasagna,"['clove','butter','tomato','tomato','tea','oregano','salt','arrowroot','zucchini','thyme','tea','ricotta','parmesan','mozzarella','nutmeg','pepper']"
Favorite Vegan Lasagna (Easy & Dairy Free!),"['mushroom','cashews','rosemary','gin','spinach','salt','tea','garlic','marinara','tomato','oil','garlic','oregano','pepper']"
Mexican Lasagna,"['oil','beans','corn','cheddar','onion','cilantro','tomato','oregano','garlic','salt','hot sauce']"
Spicy Kale Lasagna,"['ale','clove','oil','tea','salt','tomato','tea','cheese','parmesan','mozzarella','tea','oil']"
Vegetarian Spinach Quiche with Almond Crust,"['flour','clove','thyme','salt','pepper','pepper','oil','oil','shallot','clove','mustard greens','wine','milk','egg','gruyere','nutmeg','salt','pepper']"
Roasted Poblano and Corn Calzones,"['pizza dough','pepper','onion','oil','corn','cumin','oregano','garlic','chili','salt','cheese','egg']"
