Title,Ingredients,,Removed amounts and measurements,
Homemade Cheese Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Easy Pizza Sauce', '4 ounces fresh mozzarella cheese', '4 ounces (1 cup) shredded mozzarella cheese', '1/4 teaspoon garlic powder', '1 teaspoon dried oregano', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', 'Easy Pizza Sauce', 'fresh mozzarella cheese', ' shredded mozzarella cheese', 'garlic powder', 'dried oregano', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",
Spinach Artichoke Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1 garlic clove', '1 tablespoon olive oil, plus more for brushing', '3 cups spinach', '1/2 cup chopped artichokes', '3/4 cup mozzarella', '2 tablespoons Pecorino Romano or Parmesan cheese', '1 pinch salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', ' garlic clove', 'olive oil, plus more for brushing', 'spinach', 'chopped artichokes', 'mozzarella', 'Pecorino Romano or Parmesan cheese', ' pinch salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",
Best Ever Taco Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup refried pinto beans, canned (or Homemade Refried Beans)', '3/4 cup shredded cheddar cheese', '2 green onions', '1 handful canned sliced black olives', '1/2 romaine heart', '1/2 tomato or 3 cherry tomatoes', '2 tablespoons Homemade Ranch Dressing', '3 organic corn tortilla chips', 'Hot sauce, for the garnish', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', 'refried pinto beans, cannedor Homemade Refried Beans', 'shredded cheddar cheese', ' green onions', ' handful canned sliced black olives', ' romaine heart', ' tomato or  cherry tomatoes', 'Homemade Ranch Dressing', ' organic corn tortilla chips', 'Hot sauce, for the garnish', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",
Veggie Supreme Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '4 baby bella mushrooms', '1/2 tablespoon olive oil', '1/2 teaspoon fennel seed', '1/4 green pepper', '1/4 red pepper', '1 handful thinly sliced red onion', '1/2 cup mozzarella', '2 tablespoons feta crumbles', 'Dried oregano, for sprinkling', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', 'Best Homemade Pizza Sauce', ' baby bella mushrooms', 'olive oil', 'fennel seed', ' green pepper', ' red pepper', ' handful thinly sliced red onion', 'mozzarella', 'feta crumbles', 'Dried oregano, for sprinkling', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",
Artichoke and Cherry Tomato Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '3/4 cup shredded cheese', 'Fine grating of Parmesan cheese', '4 artichoke hearts, quartered', '4 cherry tomatoes, quartered', '2 basil leaves, thinly sliced', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', 'Best Homemade Pizza Sauce', 'shredded cheese', 'Fine grating of Parmesan cheese', ' artichoke hearts, quartered', ' cherry tomatoes, quartered', ' basil leaves, thinly sliced', 'Semolina flour or cornmeal, for dusting the pizza peel']",
Italian Pizza Recipe (Make it Like a Pro!),"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '3/4 cup shredded mozzarella cheese or 2 to 3 ounces fresh mozzarella', '3 tablespoons Best Basil Pesto or Basil Cashew Pesto', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', 'Best Homemade Pizza Sauce', 'shredded mozzarella cheese or  to fresh mozzarella', 'Best Basil Pesto or Basil Cashew Pesto', 'Semolina flour or cornmeal, for dusting the pizza peel']",
Mediterranean Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '1 teaspoon olive oil', '1 cup packed baby spinach leaves', '1 handful red onion slices', '6 Kalamata olives', '8 sundried tomatoes, packed in oil', '3/4 cup shredded mozzarella cheese', '1 ounce feta cheese', '8 fresh basil leaves', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', 'Best Homemade Pizza Sauce', 'olive oil', 'packed baby spinach leaves', ' handful red onion slices', ' Kalamata olives', ' sundried tomatoes, packed in oil', 'shredded mozzarella cheese', ' feta cheese', ' fresh basil leaves', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",
Thin Crust Pizza Dough (with Video!),"['500 grams* Tipo 00 or all-purpose flour (3 1/3 cups)', '8 grams instant or active dry yeast (2 teaspoons)', '7 grams kosher salt (1 teaspoon)', '338 grams warm water (1 1/4 cups + 3 tablespoons)', '13 grams olive oil (1 tablespoon)', 'Semolina flour or cornmeal, for dusting', 'For the toppings, refer to our Homemade Pizza Recipes']",,"[' grams Tipo  or all-purpose flour ', 'instant or active dry yeast teaspoons', 'kosher salt teaspoon', 'warm water +  tablespoons', 'olive oil tablespoon', 'Semolina flour or cornmeal, for dusting', 'For the toppings, refer to our Homemade Pizza Recipes']",
Breakfast Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/3 cup Best Homemade Pizza Sauce', '2 eggs', '1/2 tablespoon olive oil', '1 handful thinly sliced red onion', '2 tablespoons diced green bell pepper', '2 tablespoons diced red bell pepper', '3/4 cup shredded mozzarella cheese', '1 teaspoon fennel seeds', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', 'Best Homemade Pizza Sauce', ' eggs', 'olive oil', ' handful thinly sliced red onion', 'diced green bell pepper', 'diced red bell pepper', 'shredded mozzarella cheese', 'fennel seeds', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",
California Veggie & Avocado Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/4 red bell pepper', '1/4 yellow bell pepper', '1/4 small red onion', '8 to 10 leaves fresh basil', '1/3 cup Homemade Easy Pizza Sauce', '1 cup shredded mozzarella cheese', '4 ounces soft goat cheese', '1/2 avocado', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', ' red bell pepper', ' yellow bell pepper', ' small red onion', ' to  leaves fresh basil', 'Homemade Easy Pizza Sauce', 'shredded mozzarella cheese', 'soft goat cheese', ' avocado', 'Kosher salt', 'Semolina flour or cornmeal, for dusting the pizza peel']",
Pesto Pizza Recipe,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/2 cup Best Basil Pesto (or Walnut Pesto, Cashew Pesto, Vegan Pesto, or purchased pesto)', '1 handful shredded mozzarella or pizza blend', '2 Roma tomatoes', 'Parmesan cheese (grated)']",,"[' ball Best Pizza Doughor Food Processor Dough or Thin Crust Dough', 'Best Basil Pestoor Walnut Pesto, Cashew Pesto, Vegan Pesto, or purchased pesto', ' handful shredded mozzarella or pizza blend', ' Roma tomatoes', 'Parmesan cheesegrated']",
Ultimate Vegan Burrito,"['2 cups cooked Spanish Rice* or Instant Pot Spanish Rice (or 2 cups cooked rice mixed with salsa, to taste)', '2 large portobello mushroom caps', '1/2 medium red onion', '1 orange bell pepper', '2 15-ounce cans black beans, drained and rinsed', '2 tablespoons olive oil', '2 teaspoons cumin', '1 teaspoon garlic powder', '1 teaspoon onion powder', '1 teaspoon smoked paprika', '1 teaspoon kosher salt', '2 tablespoons lime juice', '1 avocado', '4 large flour tortillas or gluten-free tortillas', 'Sauce ideas (optional): Creamy Cilantro Sauce, Vegan Queso, Spicy Chipotle Sauce, Chipotle Cream, Spicy Mayo, Vegan Sour Cream, Cashew Cream']",,"['cooked Spanish Rice or Instant Pot Spanish Riceor cooked rice mixed with salsa, to taste', ' large portobello mushroom caps', ' medium red onion', ' orange bell pepper', '  cans black beans, drained and rinsed', 'olive oil', 'cumin', 'garlic powder', 'onion powder', 'smoked paprika', 'kosher salt', 'lime juice', ' avocado', ' large flour tortillas or gluten-free tortillas', 'Sauce ideasoptional: Creamy Cilantro Sauce, Vegan Queso, Spicy Chipotle Sauce, Chipotle Cream, Spicy Mayo, Vegan Sour Cream, Cashew Cream']",
Epic Fish Tacos,"['1 pound tilapia or cod* (wild caught preferable)', '1 tablespoon chili powder', '1 teaspoon each cumin and smoked paprika (or standard paprika)', '1/2 teaspoon each garlic powder and onion powder', '1 teaspoon kosher salt, for seasoning', '3 cups shredded red cabbage (or a mix of red and green cabbage)', '1 shredded or grated carrot (optional)', '1 green onion', '2 1/2 tablespoons lime juice', '1/4 teaspoon each celery salt and kosher salt (or all kosher salt)', 'Fish Taco Sauce (or Cilantro Lime Crema, Spicy Mayo, or Chipotle Sauce)', '8 corn tortillas', 'Chopped cilantro, for serving', 'Lime wedges, for serving (optional)']",,"['tilapia or codwild caught preferable', 'chili powder', 'each cumin and smoked paprikaor standard paprika', 'each garlic powder and onion powder', 'kosher salt, for seasoning', 'shredded red cabbageor a mix of red and green cabbage', ' shredded or grated carrotoptional', ' green onion', ' lime juice', 'each celery salt and kosher saltor all kosher salt', 'Fish Taco Sauceor Cilantro Lime Crema, Spicy Mayo, or Chipotle Sauce', ' corn tortillas', 'Chopped cilantro, for serving', 'Lime wedges, for servingoptional']",
Vegan Fajitas (on a Sheet Pan!),"['1 white onion', '2 bell peppers', '1 head cauliflower', '1 portobello mushroom', '2 tablespoons olive oil', '1 tablespoon chili powder', '1 teaspoon cumin', '1 teaspoon smoked paprika (or regular)', '1 teaspoon garlic powder', '1 teaspoon onion powder', '1 teaspoon kosher salt', '2 ripe avocados', '1 lime', '1/2 teaspoon kosher salt', 'Fresh cilantro', '8 tortillas (flour or corn)', '1 15-ounce can vegetarian refried beans or homemade refried beans']",,"[' white onion', ' bell peppers', ' head cauliflower', ' portobello mushroom', 'olive oil', 'chili powder', 'cumin', 'smoked paprikaor regular', 'garlic powder', 'onion powder', 'kosher salt', ' ripe avocados', ' lime', 'kosher salt', 'Fresh cilantro', ' tortillasflour or corn', '  can vegetarian refried beans or homemade refried beans']",
Easy Egg Tacos (in 5 Minutes!),"['4 eggs', '1/2 tablespoon chili powder', '1/2 tablespoon garlic powder', '1/2 tablespoon cumin', '1/4 teaspoon kosher salt', '1/2 tablespoon olive oil', '4 taco-sized flour tortillas or corn tortillas', 'Pico de gallo or salsa fresca', '1 handful thinly sliced red onion', 'Torn cilantro leaves', 'Hot sauce']",,"[' eggs', 'chili powder', 'garlic powder', 'cumin', 'kosher salt', 'olive oil', ' taco-sized flour tortillas or corn tortillas', 'Pico de gallo or salsa fresca', ' handful thinly sliced red onion', 'Torn cilantro leaves', 'Hot sauce']",
Easy Tilapia Fish Tacos,"['1 pound tilapia* (wild caught preferable)', '2 tablespoons homemade Fish Taco Seasoning or Fajita Seasoning (without salt)', '1 teaspoon kosher salt', '3 cups shredded red cabbage (or a mix of red and green cabbage)', '1 shredded or grated carrot (optional)', '1 green onion', '2 tablespoons lime juice', '1/4 teaspoon celery salt (or substitute kosher salt)', '1 recipe Fish Taco Sauce (or Cilantro Lime Ranch, Chipotle Sauce or sour cream mixed with hot sauce)', '8 tortillas', 'Chopped cilantro, for serving']",,"['tilapiawild caught preferable', 'homemade Fish Taco Seasoning or Fajita Seasoningwithout salt', 'kosher salt', 'shredded red cabbageor a mix of red and green cabbage', ' shredded or grated carrotoptional', ' green onion', 'lime juice', 'celery saltor substitute kosher salt', ' Fish Taco Sauceor Cilantro Lime Ranch, Chipotle Sauce or sour cream mixed with hot sauce', ' tortillas', 'Chopped cilantro, for serving']",
Easy Grilled Fish Tacos,"['1 pound* tilapia or cod fillets, (wild caught if possible)', '1 tablespoon olive oil', '2 tablespoons homemade fajita seasoning (without salt)', '1 teaspoon kosher salt', '4 cups shredded green cabbage', '2 tablespoons lime juice', 'Pico de gallo, storebought or homemade', '1 recipe Fish Taco Sauce (or Cilantro Lime Crema, Chipotle Sauce or Spicy Mayo)', '8 tortillas', 'Chopped cilantro, for serving', 'Optional toppings: chopped avocado, queso fresco or feta cheese crumbles']",,"[' pound tilapia or cod fillets,wild caught if possible', 'olive oil', 'homemade fajita seasoningwithout salt', 'kosher salt', 'shredded green cabbage', 'lime juice', 'Pico de gallo, storebought or homemade', ' Fish Taco Sauceor Cilantro Lime Crema, Chipotle Sauce or Spicy Mayo', ' tortillas', 'Chopped cilantro, for serving', 'Optional toppings: chopped avocado, queso fresco or feta cheese crumbles']",
Crispy Avocado Tacos,"['1 recipe Baked Avocado Fries', '15-ounce can black beans', '1 teaspoon adobo sauce from a can of chipotle chili peppers (optional)', '1/2 teaspoon cumin', '1 teaspoon chili powder', '1/2 teaspoon kosher salt', '1 romaine head', '1 cup pico de gallo (storebought or homemade)', '8 flour or corn tortillas', '6 tablespoons mayonnaise (or vegan mayo or cashew cream)', '1 1/2 tablespoons lime juice', '1 1/2 tablespoons chopped cilantro', '1/4 teaspoon cumin', '1/4 teaspoon garlic powder', '1/8 teaspoon kosher salt']",,"[' Baked Avocado Fries', ' can black beans', 'adobo sauce from a can of chipotle chili peppersoptional', 'cumin', 'chili powder', 'kosher salt', ' romaine head', 'pico de gallostorebought or homemade', ' flour or corn tortillas', 'mayonnaiseor vegan mayo or cashew cream', ' lime juice', ' chopped cilantro', 'cumin', 'garlic powder', 'kosher salt']",
